Trash Pollution,Oil Concentration,Bacteria Level,Algae Concentration,Humidity,Wind Direction,Air Temperature
Low,2.22,207,6.05,52,280,38
High,1.37,133,4.21,60,30,
Medium,0.65,84,8.07,18,164,12
,2.62,276,6.53,93,254,29
Low,1.68,126,1.73,52,176,18
High,1.03,308,10.51,95,256,12
Medium,0.56,181,7.27,46,9,-1
Low,1.23,64,2.01,56,325,14
Medium,0.27,92,1.15,28,118,23
High,3.58,270,9.88,51,270,35
Medium,,275,6.54,74,198,21
Low,1.65,198,4.12,30,85,22
Medium,0.57,54,1.64,32,265,22
Low,0.13,55,4.11,46,89,22
Low,0.24,166,4.04,62,153,27
Medium,1.56,275,14.71,89,353,29
Low,2.21,395,13.88,76,112,27
High,2.28,214,12.91,,332,20
High,2.01,189,0.4,63,237,23
High,3.32,153,5.78,40,63,14
Low,1.4,7,7.27,60,111,17
Medium,0.85,211,3.75,21,72,-1
Medium,1.37,128,3.22,16,124,-9
High,0.89,176,7.86,100,297,34
High,,186,4.3,58,185,31
Low,1.56,177,0.64,29,9,11
High,3.61,332,9.89,90,274,28
Medium,3.8,217,3.88,89,201,35
Medium,2.52,374,6.45,100,160,23
High,1.09,32,6.34,54,297,-10
Medium,3.85,195,12.36,58,296,30
High,,326,5.25,14,64,6
Medium,1.44,243,9.76,59,291,24
Low,1.84,145,2.89,40,31,-2
Low,1.32,11,13.02,31,54,15
Low,2.27,275,4.58,85,239,36
Medium,0.7,360,2.5,46,8,7
Medium,2.92,354,14.75,55,16,36
High,2.01,159,5.52,60,299,40
Low,0.42,189,5.62,42,45,10
Medium,1.69,66,3.63,59,122,2
,0.11,282,0.6,22,279,24
High,2.87,338,4.37,85,246,31
High,3.06,228,9.01,95,206,37
Low,3.7,365,10.97,89,260,33
Low,1.37,150,8.12,79,328,24
High,2,343,5.34,64,182,27
High,3.99,245,11.67,56,199,32
Medium,2.78,297,7.93,55,245,38
Low,,208,2.09,25,228,23
Medium,0.31,42,3.47,29,118,15
Low,2.44,179,5.94,80,280,33
Low,3.11,20,3.12,40,163,2
High,2.59,159,6.3,62,224,22
Low,,100,9.27,29,275,-8
High,0.95,96,6.48,48,82,10
Medium,2.67,297,5.37,,180,30
High,0.21,93,6.56,14,132,9
High,1.69,150,3.61,43,110,22
Low,1.42,38,3.81,22,28,25
Medium,2.72,111,2.78,30,131,15
Medium,2.63,7,9.78,88,330,25
Low,1.04,109,2.03,52,83,-10
High,0.03,99,7.73,22,174,13
High,0.4,340,5.97,82,323,38
Medium,1.97,164,9.63,82,291,35
Low,3.27,152,13.16,62,128,31
Low,1.05,117,10.18,,9,11
High,1.45,192,3.63,55,260,24
Low,0.85,214,1.35,46,119,11
High,2.22,361,13.21,96,238,33
High,3.28,345,8.99,55,185,23
Low,,137,8.41,36,340,24
Low,0.75,264,3.82,35,24,-3
Medium,2.45,290,4.85,71,244,26
Medium,2.95,182,9.38,75,268,37
High,1.73,22,3.5,17,71,0
High,2.56,351,12.79,28,280,-3
Medium,1.63,134,7,89,198,27
Medium,0.61,327,11.02,54,137,0
Medium,0.97,74,13.84,29,170,12
Low,1.73,384,10.41,53,289,39
Medium,0.91,331,3.26,41,56,
Medium,0.92,199,3.06,45,4,2
High,1.2,100,13.71,73,221,34
Medium,3.41,298,4.44,75,209,26
High,2.04,341,2.34,82,245,40
Medium,1.91,98,8.11,56,9,35
Low,1.43,63,4.75,60,45,23
Medium,3.1,161,13.76,63,257,33
Medium,0.46,39,6.54,21,195,-7
Medium,0.36,106,4.7,27,34,20
Medium,3.16,385,11.47,57,263,29
High,2.38,212,13.39,70,356,40
Medium,2.54,262,2.42,90,228,20
High,1.94,157,4.35,54,284,33
Medium,1.51,125,6.46,57,217,0
High,1.52,184,4.67,52,43,2
Medium,0.23,41,4.67,47,105,25
Medium,1.42,14,1.08,17,117,18
High,2.4,240,11.07,59,259,39
Low,1.79,171,2.48,55,116,18
Low,1.38,7,5.47,17,,19
Low,2.84,33,8.99,68,343,24
Low,1.91,278,7.01,93,346,27
Low,0.25,122,5.24,39,18,9
High,1.32,107,0.49,58,17,1
Medium,0.13,71,3.7,44,172,5
Medium,0.97,80,0.94,36,1,-7
,,84,9.46,44,,22
Medium,0.55,50,0.12,31,178,-2
Medium,2.33,188,1.24,28,115,-10
Medium,0.53,56,3.77,79,169,25
Low,1.67,173,5.09,16,94,-8
Low,2.68,219,7.61,64,63,27
Medium,,121,4.7,18,146,5
Medium,3.36,228,10.9,94,314,21
Medium,2.42,242,9.37,90,272,35
High,2.42,279,10.97,22,308,30
Medium,3.07,292,9.23,58,223,33
Low,,152,7.72,42,114,13
Low,0.13,91,5.78,21,116,0
High,0.16,239,2.02,24,259,12
High,1.61,162,8.59,76,318,32
Low,1.74,258,7.04,96,270,23
Low,1.47,391,14.29,82,196,36
Medium,1.24,91,1.15,30,54,20
Low,3.66,367,14.85,83,196,22
High,1.46,101,6.68,90,64,38
Medium,3.71,155,6.24,50,280,29
Low,1.22,160,11.18,58,308,6
High,1.45,124,7.73,100,157,33
Low,0.97,110,3.86,40,59,24
Medium,3.98,384,7.28,65,348,24
Medium,0.85,51,14.8,53,46,38
High,2.82,260,7.24,16,42,12
High,1.49,228,7.08,31,359,28
High,0.99,187,5.94,54,244,28
Low,0.53,177,3.98,34,45,4
High,1.7,289,12.38,90,211,1
Medium,1.58,163,5.18,27,139,-4
Low,2.1,268,1.43,65,286,38
,2.97,182,5.89,56,296,34
Medium,1.96,166,7.44,43,226,-1
Medium,1.26,189,7.47,61,330,40
Medium,1.21,129,3.93,15,36,9
High,3.64,336,5.73,57,311,5
Medium,,174,9,23,316,22
Low,3.06,275,3.54,77,302,-8
Medium,0.1,100,7.33,23,11,6
Medium,1.57,274,5.16,60,272,40
Medium,1.45,72,4.83,36,173,14
High,3.97,371,14.93,79,266,32
Low,1.78,23,4.41,82,138,-4
High,3.24,365,14.83,50,119,23
High,3.33,340,3.13,83,328,31
High,2.04,62,5.55,34,121,30
Medium,3.91,155,2.25,50,201,37
Medium,1.89,44,0.37,88,165,9
Medium,3.36,25,4.33,56,306,40
Low,1.26,180,11.51,72,85,37
High,1.64,335,4.14,86,316,23
High,2.47,378,8.42,67,160,23
Medium,3.21,142,3.38,26,34,14
Medium,0.72,177,13.05,53,230,22
High,3.61,21,5.44,84,147,30
Medium,1.85,216,12.31,60,359,20
Medium,1.8,200,11.26,36,157,
Medium,3.96,317,4.75,51,182,7
High,3.73,52,0.83,39,118,21
Medium,3.25,184,11.45,,300,38
Medium,0.12,58,4.58,17,63,2
High,0.59,242,1.85,95,137,15
High,3.22,370,7.76,59,253,29
Low,1.79,53,1.2,93,164,25
High,2.19,365,5.6,96,319,37
Low,0.12,161,0.48,42,64,14
High,1.64,346,6.88,82,50,24
Medium,0.75,379,0.97,54,127,0
Medium,1.67,197,6.58,64,117,5
High,2.88,93,7.47,59,29,30
Medium,3.9,386,1.56,40,126,21
High,1.14,206,7.43,59,324,14
Medium,1.77,303,8.85,80,202,28
Medium,0.52,162,8.76,66,311,-7
Low,1.95,140,12.39,33,,2
High,1.44,312,3.78,16,28,-1
Low,3.54,164,4.74,,349,24
High,1.42,255,12.55,72,196,34
High,0.59,148,6.76,39,113,20
High,2.32,378,13.06,88,202,30
Medium,2.53,340,14.71,61,229,31
High,2.39,227,6.38,63,252,22
,1.69,86,7.5,43,83,17
Medium,3.83,164,14.6,65,304,23
Low,1.23,295,1.98,52,98,3
High,0.08,194,4.46,46,146,11
Medium,3.69,58,13.25,77,309,40
High,3.03,93,7.02,96,330,21
Low,1.41,167,4.87,51,71,5
High,0.81,71,0.49,16,180,-5
Low,0.03,88,3.99,27,15,-5
Medium,1,243,5.57,93,261,36
Low,0.3,24,5.86,21,290,24
Medium,3.71,289,6.43,79,274,30
High,0.38,146,2.16,26,99,8
High,2.33,213,14.46,22,,35
Low,1.06,156,3.7,60,63,19
Medium,3.66,318,9.18,79,248,25
High,2.02,263,10.05,29,312,29
Low,0.97,177,2.89,59,8,-4
Medium,0.47,396,0.34,49,56,-4
Medium,0.39,26,6.48,15,160,2
Medium,3.35,351,8.96,87,231,30
High,2.24,398,11.66,63,288,36
Medium,2.74,289,10.18,72,103,33
High,0.52,336,3.35,19,40,-9
Low,0.79,395,7.91,45,134,-6
High,2.79,155,9.44,92,271,38
Medium,0.16,1,0.86,29,42,4
High,2.8,255,0.27,87,119,8
Low,3.04,136,0.2,48,151,7
Low,2.81,305,10.38,83,189,36
High,2.45,265,10.04,55,236,36
High,3.78,362,11.21,65,359,39
Medium,1.56,127,10.38,71,184,29
